Feature,XGBoost Importance,Permutation Importance,XGBoost Rank,Permutation Rank,Rank Difference,XGBoost Importance (Normalized),Permutation Importance (Normalized),Average Importance
SERANGOON_price_ratio,0.0050517228,0.000716565935126412,57.0,73.0,16.0,0.0050517223,0.000558408884433178,0.0028050655844198006
New Generation,0.0025512297,0.003580808936355728,75.0,43.0,32.0,0.0025512294,0.002790469690923848,0.0026708495643685054
Standard_price_ratio,0.0049323584,0.0004646109993927672,59.0,79.0,20.0,0.004932358,0.00036206425277602656,0.0026472110912114976
PASIR RIS_price_ratio,0.0043252055,0.0008787436788783909,62.0,70.0,8.0,0.004325205,0.0006847915221348378,0.0025049982583321617
Premium Apartment_price_ratio,0.0011399569,0.004934683631435388,87.0,34.0,53.0,0.0011399568,0.0038455235541923695,0.002492740156740638
Simplified_price_ratio,0.0048837713,0.00012954187679552475,60.0,91.0,31.0,0.004883771,0.00010095000524412016,0.0024923604180866997
Improved,0.0010915463,0.004945989533212436,90.0,33.0,57.0,0.0010915461,0.00385433407069804,0.0024729401084485738
HOUGANG,0.0010439578,0.004764351245809428,92.0,36.0,56.0,0.0010439577,0.003712786128677641,0.002378371893394845
4 ROOM,0.0017128227,0.003847511112491153,80.0,39.0,41.0,0.0017128225,0.0029983066216947903,0.0023555645467200513
Simplified,0.0029209142,0.0018853684004795702,71.0,57.0,14.0,0.002920914,0.0014692387868977229,0.0021950763812917788
PUNGGOL_price_ratio,0.0030690753,0.0015782542672950317,69.0,60.0,9.0,0.0030690748,0.001229909435475252,0.002149492129963826
BEDOK_price_ratio,0.0038027267,0.000622522600590436,66.0,74.0,8.0,0.0038027263,0.00048512235076988546,0.002143924314425711
Model A_price_ratio,0.0017887015,0.0030430032529709106,78.0,46.0,32.0,0.0017887013,0.0023713659392952426,0.00208003360965771
short_lease,0.0037137407,0.0004628820120716748,67.0,80.0,13.0,0.0037137403,0.00036071687937486147,0.002037228574048519
Standard,0.0024585892,0.0020414625410417387,76.0,53.0,23.0,0.002458589,0.0015908805655883318,0.0020247347421296718
Multi Generation_price_ratio,0.0029451728,1.477319615883488e-06,70.0,107.0,37.0,0.0029451724,1.151252603867106e-06,0.0014731618101106775
Model A-Maisonette,0.002603324,0.0002449713806208953,74.0,85.0,11.0,0.0026033237,0.00019090245386342182,0.0013971130591898162
Model A-Maisonette_price_ratio,0.002653054,3.549318549318503e-05,73.0,97.0,24.0,0.0026530537,2.7659297134649365e-05,0.0013403565129991232
New Generation_price_ratio,0.002120379,0.0006024773230931313,77.0,75.0,2.0,0.0021203787,0.0004695013722992179,0.0012949400161686659
Average_storey_range,0.000480141,0.002109926844960297,105.0,51.0,54.0,0.00048014094,0.0016442337515277551,0.0010621873446264186
Improved_price_ratio,0.0013500446,0.0009797846846141267,82.0,69.0,13.0,0.0013500445,0.0007635312340427795,0.0010567878698567231
HOUGANG_price_ratio,0.0011133838,0.0010032768293025019,89.0,68.0,21.0,0.0011133837,0.0007818383034488408,0.0009476109924811049
Premium Apartment Loft_price_ratio,0.001717227,-7.413675418566079e-06,79.0,109.0,30.0,0.0017172268,-5.777363976004288e-06,0.0008557247243199932
Improved-Maisonette_price_ratio,0.0016083757,1.4192366509346855e-06,81.0,108.0,27.0,0.0016083755,1.1059894367645416e-06,0.0008047407246731018
Maisonette,0.00066828635,0.0008161164080334072,99.0,71.0,28.0,0.0006682863,0.0006359870468823651,0.0006521366672869047
